SIGN_ID,IMAGE_NO,latitude,longitude,LOCATION,LANGUAGE,COMMUNICATIVE_ROLE,MATERIALITY,CONTEXT_FRAME,YELP,NOTES,CLOSED
SIGN_22,IMG_0078,37.76135,-122.424708,18th,English,Establishment_Description,Professionally_Printed,External,0,,FALSE
SIGN_23,IMG_0079,37.76135,-122.424708,18th,English,Establishment_Name,Professionally_Printed,Shop,0,,FALSE
SIGN_24,IMG_0079,37.76135,-122.424708,18th,English,Information,Professionally_Printed,Shop,2,,FALSE
SIGN_25,IMG_0080,37.76135,-122.424708,18th,English,Information,Hand_Written,Shop,2,,FALSE
SIGN_26,IMG_0081,37.76135,-122.424708,18th,English,Slogan,Professionally_Printed,Shop,2,,FALSE
SIGN_27,IMG_0081,37.76135,-122.424708,18th,English,Information,Permanent,Shop,2,Creating Community Through Food,FALSE
SIGN_28,IMG_0082,37.76149,-122.424844,18th,English,Information,Professionally_Printed,External,0,Also unsure of where sign is,FALSE
SIGN_29,IMG_0083,37.761379,-122.424399,18th,English,Establishment_Name,Permanent,External,3,,FALSE
SIGN_30,IMG_0084,37.761788,-122.424382,18th,English,Establishment_Description,Professionally_Printed,Shop,1,,FALSE
SIGN_31,IMG_0085,37.762038,-122.41611,18th,English,Establishment_Description,Professionally_Printed,Landromat,1,,FALSE
SIGN_32,IMG_0087,37.761757,-122.423694,18th,English,Establishment_Description,Professionally_Printed,Shop,1,,FALSE
SIGN_33,IMG_0087,37.761757,-122.423694,18th,English,Street_Signs,Permanent,External,0,,FALSE
SIGN_34,IMG_0091,37.761832,-122.422921,18th,English,Establishment_Name,Home_Printed,Restaurant,3,,FALSE
SIGN_35,IMG_0093,37.76142,-122.422619,18th,Equal,Establishment_Description,Hand_Written,Gallery_Museum,0,MURALS Women's Building / Edificio de mujere,FALSE
SIGN_36,IMG_0095,37.76142,-122.422619,18th,Equal,Information,Hand_Written,Gallery_Museum,0,,FALSE
SIGN_37,IMG_0097,37.76142,-122.422619,18th,English,Establishment_Name,Hand_Written,Gallery_Museum,0,,FALSE
SIGN_38,IMG_0098,37.76142,-122.422619,18th,English,Advertisement,Home_Printed,Gallery_Museum,0,,FALSE
SIGN_39,IMG_0098,37.76142,-122.422619,18th,English,Information,Home_Printed,Gallery_Museum,0,,FALSE
SIGN_40,IMG_0098,37.76142,-122.422619,18th,Spanish,Information,Home_Printed,Gallery_Museum,0,,FALSE
SIGN_41,IMG_0099,37.76142,-122.422619,18th,Spanish,Information,Home_Printed,Gallery_Museum,0,,FALSE
SIGN_42,IMG_0100,37.76142,-122.422619,18th,Equal,Information,Home_Printed,Gallery_Museum,0,,FALSE
SIGN_43,IMG_0100,37.76142,-122.422619,18th,English,Establishment_Description,Home_Printed,Gallery_Museum,0,,FALSE
SIGN_44,IMG_0101,37.76142,-122.422619,18th,English,Information,Home_Printed,Gallery_Museum,0,,FALSE
SIGN_45,IMG_0104,37.76142,-122.422619,18th,Eng_Span,Slogan,Hand_Written,Gallery_Museum,0,,FALSE
SIGN_46,IMG_0106,37.761546,-122.422887,18th,Eng_Span,Information,Professionally_Printed,External,0,No Parking No estacionar closer to mission street,FALSE
SIGN_47,IMG_0107,37.761829,-122.421946,18th,English,Establishment_Name,Professionally_Printed,Shop,1,,FALSE
SIGN_48,IMG_0107,37.761829,-122.421946,18th,English,Graffiti,Hand_Written,Shop,0,,FALSE
SIGN_49,IMG_0109,37.761157,-122.421244,18th,English,Establishment_Name,Professionally_Printed,Supermarket,1,,FALSE
SIGN_50,IMG_0110,37.761895,-122.421917,18th,English,Establishment_Name,Professionally_Printed,Restaurant,2,,FALSE
SIGN_51,IMG_0110,37.761895,-122.421917,18th,English,Establishment_Description,Professionally_Printed,Restaurant,2,,FALSE
SIGN_52,IMG_0111,37.761839,-122.421482,18th,English,Street_Signs,Permanent,External,0,,FALSE
SIGN_53,IMG_0111,37.761839,-122.421482,18th,Spanish,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_54,IMG_0111,37.761839,-122.421482,18th,English,Advertisement,Home_Printed,External,0,,FALSE
SIGN_55,IMG_0113,37.761642,-122.421748,18th,English,Advertisement,Home_Printed,External,0,"Not sure, but think it's somewhere near the last two pictures?",FALSE
SIGN_56,IMG_0114,37.761157,-122.421244,18th,English,Information,Professionally_Printed,Supermarket,0,,FALSE
SIGN_57,IMG_0116,37.761599,-122.421168,18th,Span_Eng,Establishment_Description,Professionally_Printed,Restaurant,2,,FALSE
SIGN_58,IMG_0118,37.761599,-122.421168,18th,English,Information,Professionally_Printed,Restaurant,2,,FALSE
SIGN_59,IMG_0119,37.761599,-122.421168,18th,English,Information,Home_Printed,Restaurant,2,Notice of Public Hearing -- all in English,FALSE
SIGN_60,IMG_0121,37.761536,-122.420915,18th,English,Establishment_Name,Professionally_Printed,Business ,2,,FALSE
SIGN_61,IMG_0122,37.761536,-122.420915,18th,English,Information,Hand_Written,Business ,2,,FALSE
SIGN_62,IMG_0124,37.761766,-122.420695,18th,English,Establishment_Name,Professionally_Printed,Jewelry_Store,0,,FALSE
SIGN_63,IMG_0125,37.761827,-122.419797,18th,English,Establishment_Name,Professionally_Printed,Auto_Mechanic ,0,,FALSE
SIGN_64,IMG_0126,37.761827,-122.419797,18th,Spanish,Advertisement,Professionally_Printed,External,0,Awesome bilboard for NBC in Spanish etting closer to Mission Street,FALSE
SIGN_65,IMG_0127,37.761415,-122.419682,18th,English,Establishment_Name,Professionally_Printed,Cafe,2,,FALSE
SIGN_66,IMG_0129,37.761989,-122.419702,18th,English,Establishment_Name,Professionally_Printed,Business ,1,,FALSE
SIGN_67,IMG_0129,37.761989,-122.419702,18th,English,Establishment_Name,Professionally_Printed,Business ,1,,FALSE
SIGN_68,IMG_0129,37.761989,-122.419702,18th,English,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_69,IMG_0129,37.761989,-122.419702,18th,English,Establishment_Description,Professionally_Printed,Restaurant,1,,FALSE
SIGN_70,IMG_0130,37.761699,-122.419651,18th,English,Advertisement,Hand_Written,Supermarket,1,,FALSE
SIGN_71,IMG_0130,37.761699,-122.419651,18th,English,Advertisement,Hand_Written,Supermarket,0,,FALSE
SIGN_72,IMG_0130,37.761699,-122.419651,18th,English,Advertisement,Hand_Written,Supermarket,0,,FALSE
SIGN_73,IMG_0133,37.761699,-122.419651,18th,English,Advertisement,Flier,Supermarket,0,,FALSE
SIGN_74,IMG_0136,37.761699,-122.419651,18th,English,Advertisement,Home_Printed,Supermarket,0,,FALSE
SIGN_75,IMG_0140,37.761943,-122.419592,18th,English,Establishment_Description,Professionally_Printed,Business ,2,,FALSE
SIGN_76,IMG_0141,37.761937,-122.419394,18th,English,Establishment_Name,Professionally_Printed,Restaurant,2,,FALSE
SIGN_77,IMG_0147,37.761684,-122.419291,18th,English,Graffiti,Hand_Written,External,0,,FALSE
SIGN_78,IMG_0150,37.761699,-122.419651,18th,Spanish,Slogan,Hand_Written,Supermarket,0,,FALSE
SIGN_79,IMG_0150,37.761699,-122.419651,18th,English,Slogan,Hand_Written,Supermarket,0,,FALSE
SIGN_80,IMG_0153,37.761774,-122.419063,18th,Spanish,Advertisement,Flier,External,0,,FALSE
SIGN_81,IMG_0154,37.762017,-122.418822,18th,English,Establishment_Name,Professionally_Printed,Business ,2,,FALSE
SIGN_82,IMG_0155,37.762104,-122.418479,18th,Span_Eng,Establishment_Name,Professionally_Printed,Supermarket,1,,FALSE
SIGN_83,IMG_0156,37.761812,-122.418168,18th,English,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_84,IMG_0157,37.762079,-122.418199,18th,English,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_85,IMG_0158,37.761808,-122.418058,18th,English,Establishment_Description,Professionally_Printed,Business ,1,,FALSE
SIGN_86,IMG_0159,37.76189,-122.417799,18th,English,Information,Permanent,External,0,,FALSE
SIGN_87,IMG_0160,37.761818,-122.417395,18th,English,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_88,IMG_0161,37.761818,-122.417395,18th,English,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_89,IMG_0163,37.761982,-122.417233,18th,English,Advertisement,Professionally_Printed,External,0,,FALSE
SIGN_90,IMG_0164,37.761818,-122.417395,18th,Equal,Street_Signs,Permanent,External,0,,FALSE
SIGN_91,IMG_0164,37.761818,-122.417395,18th,Equal,Information,Home_Printed,Institution,0,,FALSE
SIGN_92,IMG_0166,37.761818,-122.417395,18th,English,Instructions,Home_Printed,External,0,,FALSE
SIGN_93,IMG_0167,37.762104,-122.418479,18th,Spanish,Establishment_Description,Hand_Written,Supermarket,1,,FALSE
SIGN_94,IMG_0168,37.762104,-122.418479,18th,Spanish,Establishment_Name,Home_Printed,Supermarket,1,,FALSE
SIGN_95,IMG_0170,37.762104,-122.418479,18th,English,Advertisement,Flier,Supermarket,0,,FALSE
SIGN_96,IMG_0170,37.762104,-122.418479,18th,Spanish,Advertisement,Flier,Supermarket,0,,FALSE
SIGN_97,IMG_0170,37.762104,-122.418479,18th,Spanish,Advertisement,Home_Printed,Supermarket,0,,FALSE
SIGN_98,IMG_0170,37.762104,-122.418479,18th,Spanish,Advertisement,Flier,Supermarket,0,,FALSE
SIGN_99,IMG_0170,37.762104,-122.418479,18th,Spanish,Advertisement,Flier,Supermarket,0,,FALSE
SIGN_100,IMG_0171,37.762104,-122.418479,18th,Spanish,Instructions,Flier,Supermarket,0,,FALSE
SIGN_101,IMG_0171,37.762104,-122.418479,18th,Spanish,Advertisement,Flier,Supermarket,0,,FALSE
SIGN_102,IMG_0172,37.761902,-122.418627,18th,English,Establishment_Description,Professionally_Printed,Business ,0,,FALSE
SIGN_103,IMG_0173,37.761902,-122.418627,18th,English,Establishment_Name,Professionally_Printed,Business ,0,,FALSE
SIGN_104,IMG_0174,37.762017,-122.418822,18th,English,Establishment_Name,Professionally_Printed,Cafe,2,,FALSE
SIGN_105,IMG_0175,37.752159,-122.420161,18th,English,Establishment_Name,Professionally_Printed,Business ,0,,FALSE
SIGN_106,IMG_0178,37.752159,-122.420161,24th,Span_Eng,Advertisement,Professionally_Printed,Travel_Agency,0,,FALSE
SIGN_107,IMG_0178,37.752159,-122.420161,24th,Spanish,Advertisement,Professionally_Printed,Travel_Agency,0,,FALSE
SIGN_108,IMG_0178,37.752159,-122.420161,24th,Spanish,Advertisement,Professionally_Printed,Travel_Agency,0,,FALSE
SIGN_109,IMG_0178,37.752159,-122.420161,24th,Spanish,Advertisement,Professionally_Printed,Travel_Agency,0,,FALSE
SIGN_110,IMG_0178,37.752159,-122.420161,24th,Spanish,Advertisement,Professionally_Printed,Travel_Agency,0,,FALSE
SIGN_111,IMG_0178,37.752159,-122.420161,24th,English,Establishment_Name,Hand_Written,Beauty_Hair_Salon,0,,FALSE
SIGN_112,IMG_0179,37.752275,-122.420266,24th,English,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_113,IMG_0180,37.752245,-122.420371,24th,English,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_114,IMG_0181,37.752249,-122.420515,24th,English,Establishment_Description,Professionally_Printed,Specialty_Foods ,2,,FALSE
SIGN_115,IMG_0182,37.751862,-122.420929,24th,English,Establishment_Name,Hand_Written,Grocery,2,,FALSE
SIGN_116,IMG_0182,37.751862,-122.420929,24th,English,Establishment_Description,Hand_Written,Grocery,2,,FALSE
SIGN_117,IMG_0182,37.751862,-122.420929,24th,English,Advertisement,Professionally_Printed,Grocery,2,,FALSE
SIGN_118,IMG_0183,37.752202,-122.420095,24th,Spanish,Leaflet,Flier,Residential,0,,FALSE
SIGN_119,IMG_0184,37.752173,-122.419457,24th,English,Establishment_Name,Professionally_Printed,Grocery,2,,FALSE
SIGN_120,IMG_0184,37.752173,-122.419457,24th,Spanish,Establishment_Name,Hand_Written,Bakery,1,,FALSE
SIGN_121,IMG_0184,37.752173,-122.419457,24th,English,Establishment_Name,Professionally_Printed,Business ,0,,FALSE
SIGN_122,IMG_0187,37.752338,-122.419435,24th,English,Establishment_Name,Professionally_Printed,Gallery_Museum,3,,FALSE
SIGN_123,IMG_0188,37.752186,-122.419238,24th,Spanish,Establishment_Description,Hand_Written,Bakery,1,,FALSE
SIGN_124,IMG_0188,37.752186,-122.419238,24th,Spanish,Establishment_Description,Hand_Written,Bakery,1,,FALSE
SIGN_125,IMG_0188,37.752186,-122.419238,24th,Eng_Span,Establishment_Description,Professionally_Printed,Business ,0,,FALSE
SIGN_126,IMG_0190,37.752186,-122.419238,24th,Eng_Span,Establishment_Description,Professionally_Printed,Business ,0,,FALSE
SIGN_127,IMG_0191,37.752375,-122.4191,24th,English,Establishment_Name,Professionally_Printed,Restaurant,2,,FALSE
SIGN_128,IMG_0191,37.752375,-122.4191,24th,English,Information,Professionally_Printed,Restaurant,2,,FALSE
SIGN_129,IMG_0192,37.752395,-122.418983,24th,Equal,Information,Professionally_Printed,Business ,0,,FALSE
SIGN_130,IMG_0194,37.752395,-122.418983,24th,English,Establishment_Description,Professionally_Printed,Cafe,1,,FALSE
SIGN_131,IMG_0196,37.752395,-122.418983,24th,English,Establishment_Name,Hand_Written,Cafe,1,,FALSE
SIGN_132,IMG_0196,37.752395,-122.418983,24th,English,Advertisement,Professionally_Printed,Cafe,1,,FALSE
SIGN_133,IMG_0197,37.752401,-122.418899,24th,English,Advertisement,Professionally_Printed,Gym_Fitness_Studio,0,,FALSE
SIGN_134,IMG_0199,37.75195,-122.419116,24th,English,Graffiti,Hand_Written,Commentary,0,,FALSE
SIGN_135,IMG_0199,37.75195,-122.419116,24th,Spanish,Graffiti,Hand_Written,Commentary,0,,FALSE
SIGN_136,IMG_0201,37.752468,-122.418834,24th,English,Information,Professionally_Printed,Restaurant,1,,FALSE
SIGN_137,IMG_0203,37.752079,-122.418083,24th,English,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_138,IMG_0207,37.752432,-122.418016,24th,English,Establishment_Name,Professionally_Printed,Business ,0,,FALSE
SIGN_139,IMG_0205,37.752432,-122.418016,24th,English,Establishment_Name,Professionally_Printed,Cafe,1,,FALSE
SIGN_140,IMG_0206,37.752432,-122.418016,24th,English,Information,Hand_Written,Cafe,1,,FALSE
SIGN_141,IMG_0207,37.752432,-122.418016,24th,Spanish,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_142,IMG_0207,37.752432,-122.418016,24th,Spanish,Establishment_Description,Professionally_Printed,Restaurant,1,,FALSE
SIGN_143,IMG_0207,37.752432,-122.418016,24th,Spanish,Information,Professionally_Printed,Restaurant,1,,FALSE
SIGN_144,IMG_0210,37.752474,-122.41776,24th,Spanish,Establishment_Name,Hand_Written,Clothing,0,Awesome example of familial s',FALSE
SIGN_145,IMG_0210,37.752474,-122.41776,24th,Spanish,Establishment_Description,Hand_Written,Clothing,0,,FALSE
SIGN_146,IMG_0212,37.752405,-122.417599,24th,Spanish,Establishment_Name,Hand_Written,Clothing,0,,FALSE
SIGN_147,IMG_0212,37.752405,-122.417599,24th,Spanish,Establishment_Description,Hand_Written,Clothing,0,,FALSE
SIGN_148,IMG_0213,37.752405,-122.417599,24th,Span_Eng,Information,Professionally_Printed,Clothing,0,,FALSE
SIGN_149,IMG_0215,37.75219,-122.41726,24th,English,Establishment_Description,Professionally_Printed,Grocery_Liquor_Store,2,,FALSE
SIGN_150,IMG_0216,37.75219,-122.41726,24th,Eng_Span,Establishment_Name,Professionally_Printed,Grocery_Liquor_Store,2,,FALSE
SIGN_151,IMG_0216,37.75219,-122.41726,24th,English,Establishment_Name,Hand_Written,Jewelry_Store,0,,FALSE
SIGN_152,IMG_0216,37.75219,-122.41726,24th,English,Establishment_Name,Hand_Written,Shop,0,,FALSE
SIGN_153,IMG_0216,37.75219,-122.41726,24th,Eng_Span,Information,Professionally_Printed,Grocery_Liquor_Store,2,,FALSE
SIGN_154,IMG_0219,37.752307,-122.417044,24th,English,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_155,IMG_0220,37.752206,-122.416545,24th,Spanish,Establishment_Name,Professionally_Printed,Shop,0,,FALSE
SIGN_156,IMG_0220,37.752206,-122.416545,24th,Spanish,Establishment_Description,Professionally_Printed,Shop,0,,FALSE
SIGN_157,IMG_0220,37.752206,-122.416545,24th,Spanish,Establishment_Name,Professionally_Printed,Specialty_Foods ,0,,FALSE
SIGN_158,IMG_0220,37.752206,-122.416545,24th,Span_Eng,Establishment_Name,Professionally_Printed,Shop,0,,FALSE
SIGN_159,IMG_0222,37.752483,-122.416724,24th,English,Establishment_Name,Hand_Written,Jewelry_Store,1,,FALSE
SIGN_160,IMG_0222,37.752483,-122.416724,24th,English,Establishment_Description,Hand_Written,Jewelry_Store,1,Was this supposed to be IMG_02222,FALSE
SIGN_161,IMG_0223,37.752483,-122.416724,24th,Spanish,Establishment_Description,Hand_Written,Jewelry_Store,1,,FALSE
SIGN_162,IMG_0224,37.752497,-122.416541,24th,English,Establishment_Description,Hand_Written,Bar,2,,FALSE
SIGN_163,IMG_0228,37.752191,-122.416042,24th,English,Establishment_Name,Professionally_Printed,Business ,0,,FALSE
SIGN_164,IMG_0229,37.752383,-122.416259,24th,English,Information,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_165,IMG_0231,37.752386,-122.416218,24th,English,Establishment_Name,Professionally_Printed,Business ,0,Used to be Mystic Something,TRUE
SIGN_166,IMG_0232,37.752386,-122.416218,24th,Eng_Span,Establishment_Name,Professionally_Printed,Beauty_Hair_Salon,1,,FALSE
SIGN_167,IMG_0233,37.752389,-122.416177,24th,Spanish,Establishment_Name,Professionally_Printed,Beauty_Hair_Salon,1,,FALSE
SIGN_168,IMG_0233,37.752389,-122.416177,24th,Spanish,Establishment_Name,Hand_Written,Beauty_Hair_Salon,0,,FALSE
SIGN_169,IMG_0234,37.752518,-122.415887,24th,Spanish,Establishment_Name,Hand_Written,Shop,1,,FALSE
SIGN_170,IMG_0234,37.752518,-122.415887,24th,Spanish,Establishment_Name,Hand_Written,Shop,1,,FALSE
SIGN_171,IMG_0235,37.752403,-122.415943,24th,Spanish,Establishment_Name,Hand_Written,Beauty_Hair_Salon,0,,FALSE
SIGN_172,IMG_0237,37.752196,-122.415465,24th,English,Establishment_Name,Hand_Written,Shop,0,,FALSE
SIGN_173,IMG_0238,37.752572,-122.415805,24th,English,Establishment_Name,Professionally_Printed,Shop,0,,FALSE
SIGN_174,IMG_0239,37.752613,-122.415674,24th,English,Establishment_Name,Professionally_Printed,Restaurant,2,Nicaruagan place now a pizzaria,TRUE
SIGN_175,IMG_0240,37.748582,-122.418411,24th,Spanish,Establishment_Name,Professionally_Printed,Restaurant,2,,TRUE
SIGN_176,IMG_0240,37.748582,-122.418411,24th,Spanish,Establishment_Description,Professionally_Printed,Restaurant,2,,TRUE
SIGN_177,IMG_0241,37.752529,-122.415618,24th,Spanish,Establishment_Name,Professionally_Printed,Clothing,0,,FALSE
SIGN_178,IMG_0243,37.752422,-122.415168,24th,English,Establishment_Name,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_179,IMG_0243,37.752422,-122.415168,24th,English,Establishment_Description,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_180,IMG_0244,37.752275,-122.415368,24th,English,Establishment_Name,Professionally_Printed,Beauty_Hair_Salon,1,,FALSE
SIGN_181,IMG_0245,37.752591,-122.415345,24th,English,Establishment_Name,Professionally_Printed,Restaurant,2,,FALSE
SIGN_182,IMG_0246,37.721189,-122.437512,24th,Spanish,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_183,IMG_0246,37.721189,-122.437512,24th,Spanish,Establishment_Description,Professionally_Printed,Restaurant,1,,FALSE
SIGN_184,IMG_0246,37.721189,-122.437512,24th,Equal,Advertisement,Professionally_Printed,Restaurant,1,,FALSE
SIGN_185,IMG_0246,37.721189,-122.437512,24th,English,Advertisement,Professionally_Printed,Restaurant,1,,FALSE
SIGN_186,IMG_0247,37.752591,-122.415345,24th,English,Establishment_Description,Hand_Written,Restaurant,2,,FALSE
SIGN_187,IMG_0250,37.752671,-122.414744,24th,English,Establishment_Name,Professionally_Printed,Business ,0,,FALSE
SIGN_188,IMG_0250,37.752671,-122.414744,24th,English,Advertisement,Professionally_Printed,Business ,0,,FALSE
SIGN_189,IMG_0251,37.752641,-122.414815,24th,English,Establishment_Name,Professionally_Printed,Shop,1,,FALSE
SIGN_190,IMG_0251,37.752641,-122.414815,24th,English,Instructions,Professionally_Printed,External,0,,FALSE
SIGN_191,IMG_0252,37.752671,-122.414744,24th,English,Establishment_Name,Professionally_Printed,Restaurant,1,,TRUE
SIGN_192,IMG_0253,37.752671,-122.414744,24th,Spanish,Leaflet,Professionally_Printed,Flier,0,,FALSE
SIGN_193,IMG_0253,37.752671,-122.414744,24th,Spanish,Leaflet,Professionally_Printed,Flier,0,,FALSE
SIGN_194,IMG_0254,37.752609,-122.414575,24th,Spanish,Establishment_Description,Hand_Written,Bakery,1,La Reyna article in SF chron about this place,FALSE
SIGN_195,IMG_0255,37.752609,-122.414575,24th,Span_Eng,Establishment_Name,Professionally_Printed,Bakery,1,,FALSE
SIGN_196,IMG_0256,37.752609,-122.414575,24th,Spanish,Establishment_Description,Hand_Written,Bakery,1,,FALSE
SIGN_197,IMG_0258,37.752349,-122.414282,24th,English,Establishment_Name,Professionally_Printed,Cafe,1,,FALSE
SIGN_198,IMG_0258,37.752349,-122.414282,24th,English,Establishment_Description,Professionally_Printed,Cafe,1,,FALSE
SIGN_199,IMG_0259,37.75277,-122.413945,24th,Span_Eng,Establishment_Name,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_200,IMG_0259,37.75277,-122.413945,24th,Span_Eng,Establishment_Description,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_201,IMG_0259,37.75277,-122.413945,24th,English,Advertisement,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_202,IMG_0260,37.752349,-122.414282,24th,English,Advertisement,Professionally_Printed,Cafe,1,,FALSE
SIGN_203,IMG_0261,37.756814,-122.420868,24th,English,Establishment_Name,Professionally_Printed,Cafe,1,,FALSE
SIGN_204,IMG_0262,37.752614,-122.414368,24th,English,Establishment_Name,Professionally_Printed,Restaurant,1,,FALSE
SIGN_205,IMG_0262,37.752614,-122.414368,24th,English,Establishment_Description,Professionally_Printed,Cafe,1,,FALSE
SIGN_206,IMG_0262,37.752614,-122.414368,24th,English,Establishment_Description,Professionally_Printed,Cafe,1,,FALSE
SIGN_207,IMG_0263,37.752376,-122.413864,24th,English,Establishment_Description,Professionally_Printed,Restaurant,1,,TRUE
SIGN_208,IMG_0263,37.752376,-122.413864,24th,Eng_Span,Establishment_Name,Professionally_Printed,Restaurant,1,La Parrilla Grill -- Redundant,TRUE
SIGN_209,IMG_0263,37.752376,-122.413864,24th,Eng_Span,Establishment_Name,Professionally_Printed,Restaurant,1,,TRUE
SIGN_210,IMG_0263,37.752376,-122.413864,24th,Eng_Span,Information,Professionally_Printed,Restaurant,1,,TRUE
SIGN_211,IMG_0264,37.75277,-122.413945,24th,English,Establishment_Name,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_212,IMG_0264,37.75277,-122.413945,24th,English,Establishment_Description,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_213,IMG_0264,37.75277,-122.413945,24th,English,Advertisement,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_214,IMG_0264,37.75277,-122.413945,24th,English,Advertisement,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_215,IMG_0264,37.75277,-122.413945,24th,English,Establishment_Name,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_216,IMG_0265,37.75277,-122.413945,24th,English,Establishment_Description,Professionally_Printed,Grocery_Liquor_Store,1,,FALSE
SIGN_217,IMG_0266,37.752648,-122.413825,24th,English,Establishment_Name,Professionally_Printed,Restaurant,2,,FALSE
SIGN_218,IMG_0267,37.752536,-122.413795,24th,English,Establishment_Name,Professionally_Printed,Cafe,1,,FALSE
SIGN_219,IMG_0267,37.752536,-122.413795,24th,English,Establishment_Description,Professionally_Printed,Landromat,0,,FALSE
SIGN_220,IMG_0268,37.752433,-122.413454,24th,Spanish,Establishment_Name,Hand_Written,Restaurant,2,,FALSE
SIGN_221,IMG_0268,37.752433,-122.413454,24th,Spanish,Establishment_Description,Hand_Written,Restaurant,2,,FALSE
SIGN_222,IMG_0268,37.752433,-122.413454,24th,Spanish,Establishment_Name,Professionally_Printed,Restaurant,2,,FALSE
SIGN_223,IMG_0269,37.752631,-122.413546,24th,English,Establishment_Description,Professionally_Printed,Beauty_Hair_Salon,2,,FALSE
SIGN_224,IMG_0269,37.752631,-122.413546,24th,Span_Eng,Establishment_Name,Professionally_Printed,Notary_Financial_Services,0,,FALSE
SIGN_225,IMG_0270,37.752631,-122.413546,24th,English,Establishment_Description,Hand_Written,Beauty_Hair_Salon,2,,FALSE
